id,التاريخ,محتوى التغريدة,اسم المستخدم,عدد اعادة التغريدات,عدد الاعجابات
1648494737815666690,2023-04-19 01:12:27+00:00,"الحمدلله .. ثم الحمدلله  دائما وابدا 🙏🏻💙

#الهلال  عز ومعزه .. فخر وافتخار 🥈

ياكثرالحب وبس 👈@Alhilal_FC 

#الهلال_النصر https://t.co/MGNmDoMjQr",jawaherjoj15,0,0
1648494728466538496,2023-04-19 01:12:25+00:00,"#الدون يبقى دون!

#الهلال_النصر",ASNS00,0,0
1648494724641333249,2023-04-19 01:12:24+00:00,"@GhaythanAlamri الخبير التحكيمي فهد المرداسي:

الدقيقة 39 ركلة جزاء غير صحيحة للهلال
الدقيقة 60 ركلة جزاء صحيحة للهلال
الدقيقة 69 المفترض بطاقة حمراء للاعب النصر تاليسكا 
الدقيقة 76 قرار صحيح بإلغاء هدف النصر
الدقيقة 83 قرار صحيح بإلغاء ركلة جزاء النصر

#الهلال_النصر 

-",_BinAuDaH,0,0
1648494724385480708,2023-04-19 01:12:24+00:00,"يقولون #النصر جعل العالم يعرف #الهلال بينما الواقع يقول أنهم الصحافة العالمية أصبحت تنقل فضائحهم.
الصحافة العالمية تنقل خبر خسارتهم وان #رونالدو خنق لاعب الهلال كما يفعل المصارعون في WWE.
#الهلال_النصر #النصر_الهلال #كريستيانو_رونالدو https://t.co/bTAkYEHcxN",BinTalebAM,0,0
1648494694312337412,2023-04-19 01:12:17+00:00,"#الهلال_النصر
#الاتحاد
اهديناكم نقاط الدوري وكنا سبب بتعثر #النصر بعد الله
لو تعثرتوا في اي مباراة ي ويلكم 
@ittihad",m77_bh,0,0
1648494689191067650,2023-04-19 01:12:16+00:00,"اقسم بالله انكم مجموعة متخاذلين يا فشله وحرام تلبسون شعار نادي عريق مثل النصر يا حثاله يا جبنااااء ❌❌❌

@alamre_55 @sultan_ghannam @Alkaibari_A @LAJAMI_78 @A_ghareeb29 @ali_eto #الصليهم #ماشاريبوف #كونان

#النصر #الهلال_النصر 

اما انتم نحتاج استقالتكم 🚫
@aaomrani @musalli9",DooN_1955,0,0
1648494680508891136,2023-04-19 01:12:14+00:00,#الهلال_النصر من عافاه الله من تشجيع النصر والاهلي فليحمد الله.,0815a8d0f436462,0,0
1648494672329998336,2023-04-19 01:12:12+00:00,"#الهلال_النصر
وزارة الرياضة هي من تعاقدت معاه ودعمت الصفقه.
تبون #لجنة_الانضباط_والأخلاق تعاقبه
هذا هو النصر وهؤلاء هم لاعبيه وقت الخساره مايطلع منهم الا الحركات القذره https://t.co/K16XlYhjWe",7doo0072016,0,0
1648494667431022593,2023-04-19 01:12:10+00:00,"دعموه بأكبر صفقة في التاريخ … و لا يزال صغير الرياض … 
#كريستيانو_رونالدو 
#الهلال_النصر 
#ارحل_يا_مسلي 
#صغير_الرياض",Abdulra15893449,0,0
1648494663756808195,2023-04-19 01:12:10+00:00,"#الهلال_النصر 

هلال الارض رأيناه ونترقب رؤية هلال السماء .",Courage_2_,0,0
1648494662695669763,2023-04-19 01:12:09+00:00,"نشوان يقول لدي معلومة مؤكدة من إدارة النصر بأن رونالدو لديه إصابة في …….. بعد الحركة القذرة هنيئاً لرياضتنا بهكذا إدارة وهكذا اعلامي … صاروا يعرفون وش عند رونالدو في ……….. !!!!! ٠
#اطردو_المسي_للجماهير 
#الهلال_النصر 
#ارحل_يا_مسلي",almohem1111,0,0
1648494662129426432,2023-04-19 01:12:09+00:00,"#ارحل_يا_مسلي
#الهلال_النصر 
طقطق جعل غيرك مايطقطق😁😁 https://t.co/FjB8DrgWLs",8m9kZj,0,0
1648494655833772035,2023-04-19 01:12:08+00:00,"@1SMi_ الخبير التحكيمي فهد المرداسي:

الدقيقة 39 ركلة جزاء غير صحيحة للهلال
الدقيقة 60 ركلة جزاء صحيحة للهلال
الدقيقة 69 المفترض بطاقة حمراء للاعب النصر تاليسكا 
الدقيقة 76 قرار صحيح بإلغاء هدف النصر
الدقيقة 83 قرار صحيح بإلغاء ركلة جزاء النصر

#الهلال_النصر 

-",_BinAuDaH,0,0
1648494651702415363,2023-04-19 01:12:07+00:00,"#الهلال_النصر

توي اشوف حركة #كرستيانو_رونالدو الآن !!

للأسف حركة قذرة وأي أحد يدافع عنه قذر !!",SUL_A_Z,0,0
1648494630739263488,2023-04-19 01:12:02+00:00,"#الهلال_النصر
الى المسؤوليين في رياضتنا..كفاية مجاملات وهدر اموال حتى تصنعوا بطل وهمي ..لاتطلبوا النصر والنصراويين ما لاطاقة لهم به.. النصر ليس بطل ..ولن يصبح بطل ..ولم يكن طموح مشجعيه في يوم ان يعتلو القمة ..هم اعتادوا على ان يشاهدوا القمم..لا أن يشاركوا فيها https://t.co/xs18Nw3Kfa",msh_999_,0,0
1648494621436309505,2023-04-19 01:11:59+00:00,#الهلال_النصر,ReemOmohammed14,0,0
1648494617913085960,2023-04-19 01:11:59+00:00,تسحرو يارجاجيل تراها كوره 😂 #الهلال_النصر https://t.co/ck1tZyeMvG,Abdulla57951841,0,0
1648494611537739777,2023-04-19 01:11:57+00:00,"#الهلال_النصر
😂😂😂😂😂 https://t.co/u0PBK6YLw4",m_a_asiri07,0,0
1648494586602618880,2023-04-19 01:11:51+00:00,"احلى مباركة جتني من عيالي يوسف ونورا💙🤍💙طبعا وامهم ""العائلة كلها هلالية القديمة والجديدة"" ولله الحمد
 #الهلال_النصر https://t.co/AThyogWYUA",Kh1Asaleh,0,0
1648494577811353601,2023-04-19 01:11:49+00:00,"طلعت زعوله مريومة 
محد قالك تهايط وتراهن 💙😂
 #الهلال #دوري_جورجينا 
 #الهلال_النصر #دوري_روشن https://t.co/uEf1FBQDx3",octo__rain,0,2
1648494576938926082,2023-04-19 01:11:49+00:00,"#الهلال_النصر
@bandar_aaz تخيل انا صديت وجهي عن الصنط 🫣 https://t.co/vpdCyEDwwi",Am_algashaimeet,0,0
1648494558056173568,2023-04-19 01:11:44+00:00,@abd_hfc1 مستر مندوب. #الهلال_النصر,skrno1402,0,0
1648494557724827648,2023-04-19 01:11:44+00:00,"إيقالو ضد الشباب 😁
كل الهلال ضد الشباب 😂

#الهلال_النصر https://t.co/TqZLB9ONfV",Mxt_10,0,0
1648494555518636033,2023-04-19 01:11:44+00:00,"يا لطيف الجمال والسعر الطيب نادر يجتمعون
💯💯💯💯💯💯💯💯💯💯💯

كرسي قابل للنفخ اللون رمادي السعر قبل ٢٠٠ والان ٩٩ فقط الحقو ي عرب الحقو 😳😳😳😳

https://t.co/j5wEXqHHXI

 #الهلال_النصر",soug_11,0,1
1648494543434821632,2023-04-19 01:11:41+00:00,"#الهلال_النصر 
#النصر_الهلال 

🚨 صحيفة TNT

ليلة رعب عاشها كريستيانو رونالدو امام هلال آسيا .",Roa_Abul3enen,2,0
1648494541639651328,2023-04-19 01:11:40+00:00,جاي عشان يندعس 🤣 #الهلال_النصر https://t.co/7XD4upnOVM,8aa__a,0,0
1648494522542997505,2023-04-19 01:11:36+00:00,"#الهلال_النصر 
#رينالدو_المفترس https://t.co/SNw8QVzIb4",abdulrahmanomr1,0,0
1648494517170081792,2023-04-19 01:11:35+00:00,"#الهلال_النصر 

طار طار 😂😂",m7bob_r,0,0
1648494511511969794,2023-04-19 01:11:33+00:00,#الهلال_النصر هههههههههههههههههههههههههههههههههههههههههههه https://t.co/Zt4Mt5Q0zt,LooSh__15,0,0
1648494506382352386,2023-04-19 01:11:32+00:00,"@Saleh_R9 #مجتمعنا_برئ_من_هذه_الحركة العاهرة وفاعلها ولو قدّر لنا معرفة من يدافع عن كرستيانو خارج المملكة باعتبارها حركة عادية، فسنجد جلهم إن يكن جميعهم من المثليين، مع كل الإحترام لجميع المواطنين والمتابعين الشرفاء في كل مكان!!

#الهلال_النصر 
#النصر_الهلال 
#روشن
#الهلال 

@gsaksa 
@SPL",SSour66,0,0
